Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6
Oxalate,,,,,
"Thiophene-2,5-dicarboxylate","4,4'-bipyridine",,,,
"Naphthalene-1,4-dicarboxylate",aqua,"1,1'-(butane-1,4-diyl)diimidazole",,,
"Thiophene-2,5-dicarboxylate","4,4'-bipyridine",,,,
"Thiophene-2,5-dicarboxylate","4,4'-bipyridine",,,,
"Ethane-1,2-disulfonate",,,,,
"u1-Butane-1,4-disulfonate",,,,,
3-Carboxy-1-((carboxy-O)methyl)-5-oxopyridiniumat,,,,,
"Pyridine-2,4,6-tricarboxylate",hydroxo),,,,
Malonate,"4'-(4-pyridyl)-4,2':6',4''-terpyridin",,,,
"Benzene-1,3,5-tricarboxylate","1-(3,5-bis(1H-imidazol-1-yl)phenyl)-1H-imidazol",oxo,,,
"Benzene-1,3,5-tricarboxylate","1,1'-biphenyl-4,4'-diylbis(1H-imidazole))-aqu",,,,
"Benzene-1,3,5-tricarboxylate-O,O',O'',O''',O''''","4,4'-bis(1-imidazolyl)biphenyl-N,N')-(aqua",,,,
"benzene-1,3,5-tricarboxylate","1,1'-([1,1'-biphenyl]-4,4'-diyl)di(1H-imidazole))-bis(aqu",,,,
"4,4'-Bi(1,2,4-triazole)","4,4'-bi(1,2,4-triazole))-(nitrate-",,,,
"4,4'-Bi(1,2,4-triazole)",,,,,
"4-chloro-2-oxy-5-hydroxy-3,6-dioxocyclohexa-1,4-diene-1-carbonitrile",,,,,
"Benzene-1,2,4,5-tetracarboxylate",2-(1H-tetrazol-5-yl)pyrazine,,,,
"5-Chloro-6-oxo-1,6-dihydropyridine-3-carboxylate",oxalate,oxalate,,,
"1,1'-biphenyl-4,4'-dicarboxylate",,,,,
"Butane-1,2,3,4-tetracarboxylate","1,2-bis(imidazol-1-ylmethyl)benzene",,,,
"Butane-1,2,3,4-tetracarboxylate","1,3-bis(imidazol-1-ylmethyl)benzene",,,,
"Butane-1,2,3,4-tetracarboxylate","1,4-bis(imidazol-1-ylmethyl)benzene",,,,
Chloro,"bis(imidazol-1-yl)methane-N,N'",,,,
chloro,"1,1'-methylenebis(1H-imidazole)",,,,
"4-Oxypyridine-2,6-dicarboxylate",,,,,
"4-Oxypyridine-2,6-dicarboxylate",,,,,
"4-oxidopyridine-2,6-dicarboxylate",,,,,
"4-Oxypyridine-2,6-dicarboxylate",,,,,
2-hydroxyphosphonoacetate,2-hydroxyphosphonoacetate,hydrogen,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
"4,5-Dicyanoimidazolyl","4,5-dicyanoimidazolyl",,,,
