,0
155,"catena-(bis(mu-hydrogen3-phosphonatopropanoato)-bis(mu-3-phosphonatopropanoato)-tetrakis(1,10-phenanthroline)-penta-zinc hydrate)"
156,"catena-((mu-2,2'-((1,1,1,3,3,3-hexafluoropropane-2,2-diyl)bis(4,1-phenyleneoxy))diacetato)-(1,10-phenanthroline)-lead)"
157,"catena-((mu-4,4'-bipyridine)-tetrakis(mu-2,2'-{(1,1,1,3,3,3-hexafluoropropane-2,2-diyl)bis[(4,1-phenylene)oxy]}diacetato)-tetra-lead)"
158,"catena-[(mu-4,4'-carbonyldibenzoato)-(mu-5,5'-(1,4-phenylene)di(1H-imidazole))-zinc(ii)]"
159,"catena-[bis(mu-5-carboxybiphenyl-2,4'-dicarboxylato)-(mu-5,5'-(1,4-phenylene)di(1H-imidazole))-di-cadmium(ii)]"
160,"catena-((mu-N,N,N',N'-tetrakis(carboxylatomethyl)propane-1-amine-3-ammonium)-lanthanum monohydrate)"
161,"catena-((mu-N,N,N',N'-tetrakis(carboxylatomethyl)propane-1-amine-3-ammonium)-cerium monohydrate)"
162,"catena-((mu-N,N,N',N'-tetrakis(carboxylatomethyl)propane-1-amine-3-ammonium)-praseodymium monohydrate)"
163,"catena-[Ethylene-1,2-diammoniumbis(mu!6$-oxalato)-bis(mu!5$-hydrogen phosphato)-di-cobalt(ii)-di-sodium]"
164,"catena-((mu-N,N,N',N'-tetrakis(carboxylatomethyl)propane-1-amine-3-ammonium)-neodymium monohydrate)"
165,"catena-((mu-1,1',1''-(1,3,5-triazine-2,4,6-triyl)tris(piperidine-4-carboxylato))-aqua-gadolinium dimethylformamide solvate trihydrate)"
166,"catena-(bis(mu-4-(1H-imidazo[4,5-f][1,10]phenanthrolin-2-yl)benzoato)-strontium)"
167,"catena-(bis(mu-4-(1H-imidazo[4,5-f][1,10]phenanthrolin-2-yl)benzoato)-calcium)"
168,"catena-[(mu-4-hydroxy-5-oxidobenzene-1,3-disulfonato)-aqua-lanthanum(iii) monohydrate]"
169,"catena-(bis(mu-hydroxo)-bis(mu-1H-pyrazole-3,5-dicarboxylato)-tri-manganese)"
170,"catena-[tris(mu-benzene-1,3-dicarboxylato)-bis(ethane-1,2-diol)-di-terbium(iii) unknown solvate]"
171,"catena-[(mu-1,3,6,8-tetra(1H-pyrazol-4-yl)-9H-carbazole)-dichoro-nickel(ii) unknown solvate]"
